patent_id,published_or_filed_date,filed_country,application_kind,pct_doc_number,pct_doc_type
11316511,2019-10-31,WO,A,WO2019/206564,wo_grant
10513477,2015-12-29,WO,00,PCT/EP2015/081371,pct_application
10689468,2015-11-20,WO,00,PCT/EP2015/077213,pct_application
9217559,2013-03-15,WO,00,PCT/DK2013/050069,pct_application
10508109,2017-04-06,WO,A,WO2017/058503,wo_grant
7925108,2006-09-21,WO,A,WO2006/098226,wo_grant
8273685,2008-02-14,WO,A,WO2008/018501,wo_grant
10265632,2016-05-26,WO,A,WO2016/079000,wo_grant
6039093,1996-10-18,WO,00,PCT/DE96/02027,pct_application
9865207,2016-12-08,WO,A,WO2016/192153,wo_grant
9278318,2014-06-12,WO,A,WO2014/088556,wo_grant
8502739,2007-06-22,WO,00,PCT/IB2007/002780,pct_application
10351333,2012-09-01,WO,00,PCT/CN2012/080892,pct_application
8855229,2011-01-31,WO,00,PCT/CN2011/000190,pct_application
7669464,2006-09-14,WO,A,WO2006/096114,wo_grant
6641803,1999-08-12,WO,A,WO99/39690,wo_grant
7759373,2002-04-15,WO,00,PCT/JP02/03723,pct_application
8294342,2007-12-11,WO,00,PCT/JP2007/073862,pct_application
8155521,2008-05-22,WO,A,WO2008/060007,wo_grant
6465792,1998-11-05,WO,A,WO98/49711,wo_grant
7475604,2004-12-29,WO,A,WO2004/113785,wo_grant
