patent_id,wipo_field_sequence,wipo_field_id,wipo_sector_title,wipo_field_title
8013242,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
10334312,1,2.0,Electrical engineering,Audio-visual technology
11216086,1,9.0,Instruments,Optics
6514014,1,25.0,Mechanical engineering,Handling
9318712,2,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
10470307,0,2.0,Electrical engineering,Audio-visual technology
8388685,0,13.0,Instruments,Medical technology
8765113,0,13.0,Instruments,Medical technology
7069827,0,26.0,Mechanical engineering,Machine tools
4972546,0,35.0,Other fields,Civil engineering
7441443,1,23.0,Chemistry,Chemical engineering
11277593,1,2.0,Electrical engineering,Audio-visual technology
7076097,0,2.0,Electrical engineering,Audio-visual technology
5272736,0,27.0,Mechanical engineering,"Engines, pumps, turbines"
4957017,1,32.0,Mechanical engineering,Transport
4552300,0,26.0,Mechanical engineering,Machine tools
6804682,0,6.0,Electrical engineering,Computer technology
10789692,0,6.0,Electrical engineering,Computer technology
6475892,0,8.0,Electrical engineering,Semiconductors
8327417,0,4.0,Electrical engineering,Digital communication
5310796,1,17.0,Chemistry,"Macromolecular chemistry, polymers"
8958131,2,29.0,Mechanical engineering,Other special machines
8077661,0,4.0,Electrical engineering,Digital communication
8045942,1,5.0,Electrical engineering,Basic communication processes
6250981,1,32.0,Mechanical engineering,Transport
8161063,0,6.0,Electrical engineering,Computer technology
6441824,0,6.0,Electrical engineering,Computer technology
5877356,0,14.0,Chemistry,Organic fine chemistry
8712483,1,4.0,Electrical engineering,Digital communication
10225016,0,3.0,Electrical engineering,Telecommunications
6597564,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
8506129,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
8435650,0,20.0,Chemistry,"Materials, metallurgy"
10755772,0,6.0,Electrical engineering,Computer technology
10825944,2,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
6109560,0,25.0,Mechanical engineering,Handling
6123751,0,24.0,Chemistry,Environmental technology
9964427,0,10.0,Instruments,Measurement
8802165,1,14.0,Chemistry,Organic fine chemistry
5162566,0,14.0,Chemistry,Organic fine chemistry
10536661,1,2.0,Electrical engineering,Audio-visual technology
11374799,0,4.0,Electrical engineering,Digital communication
10688431,1,30.0,Mechanical engineering,Thermal processes and apparatus
4899314,0,6.0,Electrical engineering,Computer technology
4917539,1,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
3962510,1,28.0,Mechanical engineering,Textile and paper machines
6889686,0,30.0,Mechanical engineering,Thermal processes and apparatus
7240215,2,12.0,Instruments,Control
11057208,0,6.0,Electrical engineering,Computer technology
7205424,0,23.0,Chemistry,Chemical engineering
10940192,0,16.0,Chemistry,Pharmaceuticals
10546744,0,8.0,Electrical engineering,Semiconductors
7132150,0,23.0,Chemistry,Chemical engineering
5093876,0,9.0,Instruments,Optics
6032186,0,3.0,Electrical engineering,Telecommunications
10097602,0,4.0,Electrical engineering,Digital communication
4267924,1,30.0,Mechanical engineering,Thermal processes and apparatus
10953604,1,20.0,Chemistry,"Materials, metallurgy"
10842915,1,21.0,Chemistry,"Surface technology, coating"
6912882,0,35.0,Other fields,Civil engineering
4295948,1,19.0,Chemistry,Basic materials chemistry 
9641240,1,3.0,Electrical engineering,Telecommunications
9240602,0,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
9906652,1,4.0,Electrical engineering,Digital communication
8243016,0,6.0,Electrical engineering,Computer technology
6111568,1,4.0,Electrical engineering,Digital communication
5299417,1,27.0,Mechanical engineering,"Engines, pumps, turbines"
9559751,0,3.0,Electrical engineering,Telecommunications
6918688,1,1.0,Electrical engineering,"Electrical machinery, apparatus, energy"
6530393,0,32.0,Mechanical engineering,Transport
9339801,1,14.0,Chemistry,Organic fine chemistry
5953923,1,25.0,Mechanical engineering,Handling
8639868,1,4.0,Electrical engineering,Digital communication
4294786,0,30.0,Mechanical engineering,Thermal processes and apparatus
4772593,2,16.0,Chemistry,Pharmaceuticals
7945686,0,4.0,Electrical engineering,Digital communication
10967684,0,32.0,Mechanical engineering,Transport
8025736,0,21.0,Chemistry,"Surface technology, coating"
6772281,0,6.0,Electrical engineering,Computer technology
5781079,0,5.0,Electrical engineering,Basic communication processes
7431637,0,26.0,Mechanical engineering,Machine tools
11323718,1,3.0,Electrical engineering,Telecommunications
6785374,1,3.0,Electrical engineering,Telecommunications
11344016,1,33.0,Other fields,"Furniture, games"
9990105,0,6.0,Electrical engineering,Computer technology
4362237,0,25.0,Mechanical engineering,Handling
9738361,1,32.0,Mechanical engineering,Transport
