patent_id,citation_sequence,citation_application_id,citation_date,citation_category,citation_country
4613285,1,785748,1960-06-01,,FR
6051864,10,63-293946,1988-11-01,,JP
8783250,14,WO00/10634,2000-03-01,cited by applicant,WO
9743380,7,105340327,2016-02-01,cited by applicant,CN
8748292,45,WO 02/071488,2002-09-01,cited by applicant,WO
9425768,11,A-2013-78044,2013-04-01,cited by applicant,JP
10954567,126,WO-2011/162515,2011-12-01,cited by applicant,WO
8362473,14,2008-078038,2008-04-01,cited by applicant,JP
8512256,33,11128237,1999-05-01,cited by applicant,JP
10045769,724,WO 96/24301,1996-08-01,cited by applicant,WO
6837585,2,4004739,1991-08-01,cited by other,DE
9607998,8,2008-135619,2008-06-01,cited by applicant,JP
8765519,19,10-2008-0041460,2008-05-01,cited by applicant,KR
8784508,1,61-215787,1986-09-01,cited by applicant,JP
8074551,126,11-109388,1999-04-01,cited by other,JP
9405143,3,101943812,2011-01-01,cited by applicant,CN
9783921,1,102587090,2012-07-01,cited by applicant,CN
8952569,0,199 16 742,2000-08-01,cited by applicant,DE
7514451,39,88/02627,1988-04-01,cited by other,WO
6843839,4,57-197191,1982-12-01,cited by other,JP
8747964,1,WO96/17969,1996-06-01,cited by applicant,WO
8888247,4,10-181150,1998-07-01,cited by applicant,JP
