patent_id,raw_examiner_name_first,raw_examiner_name_last,examiner_role,art_group
11249861,Yair,Leibovich,primary,2114.0
D597706,Zenia I,Bennett,assistant,2913.0
7668092,Alpus H,Hsu,primary,2465.0
8669386,Porfirio Nazario,Gonzalez,primary,1671.0
5921058,Robert,Canfield,primary,
6846723,Allan R.,Wilson,primary,2815.0
D563122,Janice E.,Seeger,primary,2913.0
10716239,Eric S,Ruppert,primary,3763.0
8079875,Vanessa,Girardi,primary,2833.0
6251862,Stephen,Tu,assistant,
8117005,Mohamed,Charioui,primary,2857.0
5621496,Arthur T.,Grimley,primary,
D283181,B. J.,Bullock,primary,
5234451,Ralph,Lewis,primary,
5588584,Gary E.,Elkins,primary,
9945783,G. Steven,Vanni,primary,1631.0
9843175,Rhadames J,Alonzo Miller,assistant,2847.0
7355411,Yalkew,Fantu,assistant,2838.0
5281770,Cheryl R.,Figlin,assistant,
10561162,C.,Sayala,primary,1791.0
4908634,Bruce A.,Reynolds,primary,
8329945,Shailendra,Kumar,primary,1621.0
10711995,Grant,Moubry,primary,3762.0
5974116,Wing F.,Chan,primary,
8605431,Amol,Patel,assistant,2835.0
7963171,Freddie,"Kirkland, III",primary,2855.0
4551042,L. E.,Williams,assistant,
5972522,Valerie,Lund,primary,
8193688,Natalie,Walford,primary,2879.0
PP13537,Susan B.,McCormick,assistant,1661.0
5944365,Lynne,Reichard,primary,
11257901,Matthew E,Warren,primary,2815.0
9942165,Huy D,Vu,primary,2461.0
D681985,Brian N,Vinson,primary,2913.0
8238222,Joseph,Feild,primary,2627.0
7094766,Brian,Whiteman,primary,1635.0
8316773,Bret,Hayes,primary,3641.0
D752367,Catherine,Posthauer,assistant,2921.0
5557524,Michael,Zanelli,primary,
6195524,Sandra,Brase,primary,
6245893,Gary L.,Kunz,primary,
D409500,Nelson C.,Holtje,primary,
10559090,Kim Y,Vu,primary,2666.0
8238155,Dang,Nguyen,primary,2824.0
7064899,Arnel C.,Lavarias,assistant,2872.0
6957378,Fritz,Alphonse,assistant,2133.0
8286088,Jordany,Nunez,primary,2171.0
6476190,Christopher S. F.,Low,primary,1653.0
4578260,Edward J.,Meros,primary,
6252277,Edward,Wojciechowicz,primary,
4237297,Henry R.,Jiles,primary,
7494233,Joshua L,Pritchett,primary,2872.0
8522654,Will,"Fridie, Jr.",primary,3722.0
7639662,Kwasi,Karikari,assistant,2617.0
5515468,John D.,Lee,primary,
5648787,Tan,Ho,assistant,
5510122,Brian M.,Burn,primary,
7982034,Venkataraman,Balasubramanian,primary,1624.0
7793220,Doug,Hutton,primary,2176.0
5264564,J. Oliver,Wilson,assistant,
5768946,Mary Ann                      ,Battista,assistant,
9385406,Stephen E,Jones,primary,2842.0
5644945,Daniel C.,Crane,primary,
4479644,Jan,Silbaugh,primary,
4702260,C. Fred,Rosenbaum,primary,
9440317,Alexander P,Taousakis,primary,3726.0
9558380,Abdullah,Riyami,primary,2831.0
D636826,Susan E,Krakower,primary,2917.0
10333764,Jean B,Corrielus,primary,2633.0
8677104,William B,Partridge,assistant,2183.0
5602475,Raymond Y.,Mah,assistant,
7827234,Robert B,Harrell,primary,2442.0
10928405,Teresa E,Knight,primary,1632.0
4001120,Charles N.,Hart,primary,
6328869,Alex,Noguerola,assistant,
D705719,Harold,"Blackwell, II",assistant,2916.0
7254402,Tan,Trinh,assistant,2618.0
5211235,George A.,Suchfield,primary,
7231513,Leynna T,Ha,assistant,2135.0
10433927,Chun Hoi,Cheung,primary,3736.0
6263689,Corrine,McDermott,primary,
D768379,Derrick,Holland,primary,2921.0
4300320,Price C.,"Faw, Jr.",primary,
5342824,Robert,Gerstl,primary,
6798811,Don,Wong,primary,2828.0
7801717,Kandasamy,Thangavelu,assistant,2123.0
8764411,Charles,Freay,primary,3746.0
4088195,Richard J.,Johnson,primary,
5956191,Cassandra,Spyrou,primary,
4221471,Edward S.,Bauer,primary,
8602700,H,Gutman,primary,3612.0
4746731,David M.,Naff,primary,
6875395,Elizabeth M.,Cole,primary,1771.0
9444955,Gabriel,Garcia,primary,2676.0
10906575,Adam D,Rogers,primary,3656.0
8644370,Siu,Lee,primary,2632.0
7337048,Cuong,Nguyen,primary,3661.0
11318746,Scott A,Richmond,primary,2853.0
5661678,Vu A.,Le,assistant,
9426959,Vinod,Kumar,primary,1663.0
7618507,James,Sells,primary,1791.0
7866740,Joseph D,Pape,primary,3612.0
7582894,Phuc T,Dang,primary,2892.0
8579056,Conan,Duda,assistant,3611.0
7983758,George,Manuel,primary,3762.0
4532543,Keith E.,George,primary,
D545586,Sandra,Snapp,primary,2915.0
8574704,Nathan,Van Sell,assistant,1783.0
7507928,Michael A,Friedhofer,primary,2832.0
5338117,Jes F.,Pascua,assistant,
9003588,Joseph L,Perrin,primary,1711.0
3982416,Milton S.,Mehr,primary,
11024507,Alexander G,Ghyka,primary,2812.0
11356478,David Garcia,Cervetti,primary,2419.0
7221764,Toghi T.,Arani,primary,2131.0
10655569,Eric S.,McCall,primary,2856.0
4012140,Donald A.,Griffin,primary,
10388104,David,Duffy,primary,3716.0
8671840,Michelle,Clement,primary,3641.0
D309525,James R.,Largen,primary,
7021522,Kevin,Kerns,primary,1725.0
7999775,Alexander,Eisen,primary,2629.0
7861195,Nha T,Nguyen,assistant,2825.0
5839939,Robert A.                     ,Hafer,primary,
10508385,Joseph J,Hail,primary,3723.0
11378429,John M,Royston,assistant,2856.0
D531297,Lisa,Lichtenstein,primary,2916.0
9490849,Dipakkumar,Gandhi,assistant,2117.0
7479347,Patrick,Ryan,primary,1795.0
7719724,Richard Z,Zhu,assistant,2625.0
6183755,Lynette R. F.,Smith,primary,
9094061,Lonnie,Sweet,assistant,2467.0
11301660,Ahshik,Kim,primary,2876.0
10906373,Jenna M,Hopkins,assistant,3763.0
6290827,T.,Tung,primary,
D474713,Louis S.,Zarfas,primary,2914.0
7301184,Sara,Crane,primary,2811.0
4360895,Stuart N.,Hecker,primary,
D827561,Lakiya G,Rogers,primary,2916.0
9848092,Marcellus,Augustin,primary,2674.0
