paper_id,FoS_list,research_area
7880304,"197336794,86803240,3017875465,147483822,2911066612,2780070996,159047783,159654299,24998067,153911025,29144244,203014093",Biology:0.58_Medicine:0.34_Chemistry:0.08
7930265,"44301573,53361980,2778006210,24890656,99649670,2778417280,66938386,173736775,90296322,127413603,203311528",Engineering:0.67_Political science:0.18_Physics:0.12_Materials science:0.03
7987755,"41008148,121684516,136764020,3019323268",Computer science:0.75_Medicine:0.12_Biology:0.12
8020475,"2910656150,107130276,55958113,40827391,71924100,3020139623,70036468,2781069245,141071460,149923435,203014093,3017771224",Medicine:0.38_Biology:0.29_Sociology:0.08_Physics:0.04_Engineering:0.04_Economics:0.04_History:0.04_Geography:0.04_Political science:0.04
8198275,15708023,Philosophy:0.5_Art:0.5
8317552,15708023,Philosophy:0.5_Art:0.5
8359321,"2992527028,197046000,59822182,39432304,6557445,22802001,2983043445",Biology:0.52_Environmental science:0.14_Geology:0.09_Physics:0.09_Geography:0.09_Chemistry:0.05
8424902,"185926286,177713679,71924100,555293320,16005928",Medicine:0.8_Biology:0.2
8431211,"126322002,2781064879,2909419136,111815664,164705383,7466232,2779134260,11783203,71924100,2779339615,555293320",Medicine:0.64_Biology:0.36
8521971,15708023,Philosophy:0.5_Art:0.5
8636635,"192562407,19474535,17525397,191897082",Materials science:0.62_Engineering:0.17_Physics:0.12_Political science:0.08
8642055,"192562407,2779578285,42360764,161790260,2909392209,178790620,44228677",Materials science:0.38_Chemistry:0.33_Engineering:0.29
8711665,"155202549,74363100,119469879,2776601338,162324750,162853370,17022365,3018593493,84309077",Economics:0.5_Business:0.28_Sociology:0.07_Psychology:0.07_Political science:0.07
8904724,"192562407,191897082,33819350",Materials science:0.87_Engineering:0.07_History:0.03_Geography:0.03
8910755,"59839441,120665830,2778307483,127413603",Engineering:0.5_Physics:0.25_Sociology:0.08_Materials science:0.08_Political science:0.08
8931445,"202444582,33923547,154249771,156340839,98724732",Mathematics:0.95_Computer science:0.05
8950535,"144994191,192562407,73170135,159985019,46585869,79186407,2779905828,181817255,191897082,32546565,2779229422",Materials science:0.58_Physics:0.27_Engineering:0.15
8978804,142362112,Art:1.0
9087741,"2780805685,71924100,29595303",Sociology:0.4_Medicine:0.4_Psychology:0.13_Mathematics:0.07
9127525,"41008148,2984499602,88610354,145420912,2992227284,33857546,169900460,2986602933",Computer science:0.38_Psychology:0.28_Mathematics:0.16_Medicine:0.08_Sociology:0.05_Engineering:0.05
9167854,"133731056,43486711,78519656,30358287,80192629,2777153879,144171764,127413603,171937826,127298686",Engineering:0.76_Political science:0.1_Physics:0.08_Materials science:0.03_Mathematics:0.03
9207403,"66938386,169744489,84111939,2776326004,127413603",Engineering:0.87_Physics:0.07_Political science:0.07
9229161,"2777577641,71640776,3019230898,2778090171,41806617,86803240,2778959720,53553401,193252679,8034284,18903297",Biology:0.82_History:0.1_Chemistry:0.05_Geology:0.03_Medicine:0.01
9353281,"33923547,72169020,114614502",Mathematics:1.0
9410651,15708023,Philosophy:0.5_Art:0.5
9439731,"199033989,53553401,150117547,127413603",History:0.25_Biology:0.25_Engineering:0.25_Philosophy:0.12_Art:0.12
9448695,"159985019,2778417280,176933379,171878239,30293662,127413603,203311528",Engineering:0.67_Political science:0.19_Materials science:0.14
9467173,"2908664827,2780365088,55493867,185592680,2909422574,28859421,2776796294,2910746044,24998067,2910981438",Biology:0.43_Chemistry:0.36_Medicine:0.21
9495161,"14103023,181686392,24169881,32546565,8244735,26873012,54101563,117958382,52233224,121332964",Physics:0.91_Mathematics:0.07_Chemistry:0.03
9519152,"52182516,156385826,70721500,126513998,106337198,41008148,51679486,192800701,13575015,54887055",Biology:0.68_Chemistry:0.22_Computer science:0.1
9579742,"71924100,1862650",Medicine:1.0
9632334,"2778110554,549774020,205649164,175025494,126285488,136264566,143910263,75218677",Economics:0.67_Geography:0.12_Business:0.11_Philosophy:0.03_Art:0.03_Biology:0.03
9706115,"2778947827,163690059,44154836,81074085,2985426023,127413603",Engineering:0.53_Computer science:0.19_Philosophy:0.08_Art:0.08_Mathematics:0.07_Materials science:0.04
9824603,"77066764,192562407,33373654,171250308",Materials science:0.75_Engineering:0.17_Physics:0.08
9825711,"2779130545,2775934546,2776194525,143409427,2781099131,2778880634,2781156865,126838900,2779399171,71924100",Medicine:0.6_Biology:0.4
9829365,"159985019,22679943,33923547,179498184,134306372,105795698,49781872,2991775710,19499675,99595764,173291955,3017683307",Mathematics:0.51_Materials science:0.27_Engineering:0.06_Economics:0.04_Medicine:0.04_Biology:0.04_Physics:0.03_Computer science:0.02
9835545,159985019,Materials science:1.0
9847861,"192562407,49040817,194257627,119599485,133386390",Materials science:0.4_Engineering:0.33_Physics:0.27
9895322,"548895740,169403781,548081761,103697071,2992973111,526740375,127413603,2776624427,47980062,9526370",Engineering:0.73_Chemistry:0.15_Geology:0.08_Environmental science:0.02_Biology:0.02
9926731,"15708023,161487207,3019066829,138885662",Philosophy:0.62_Art:0.31_Economics:0.06
9963733,"15708023,138885662",Philosophy:0.75_Art:0.25
9970622,"2776179656,55493867,2910048493,2910009599,185592680,2777993539,3017828573,2994352664,2780026642,2779881121",Biology:0.45_Medicine:0.4_Chemistry:0.15
10069804,"2780997015,126322002,71924100,2909589526,134018914,2781423770,2779134260,2776015282,555293320,2986822430,16005928,2780801072",Medicine:0.68_Biology:0.32
10176665,"95457728,2780154274,161191863,2777479802,2781300351",History:0.3_Computer science:0.27_Physics:0.2_Political science:0.18_Art:0.05
10497982,"86803240,126322002,60644358,67082663,47042493,134018914",Biology:0.65_Medicine:0.28_Chemistry:0.07
10520851,"156380964,147490202,86803240,52708203,118518473,499616599,31903555,548081761,2779371384,16281581,2779222958",Biology:0.61_Chemistry:0.17_Engineering:0.13_History:0.03_Geography:0.03_Physics:0.02_Environmental science:0.01
10546665,"74650414,44870925,121332964",Physics:1.0
10553112,"86803240,8891405,90924648,126322002,159047783,203014093,2982719155",Medicine:0.51_Biology:0.34_Engineering:0.14
10678195,144024400,Sociology:1.0
10682121,"185592680,179104552,2777869211,123669783,2776422427,30095370,2780596425,65024703,93391505,3044715",Chemistry:0.64_Physics:0.13_Materials science:0.13_Biology:0.05_Engineering:0.05
10746434,"108771440,120936955,19417346,71924100",Medicine:0.3_Psychology:0.23_Sociology:0.17_Mathematics:0.17_Philosophy:0.12
10766841,"181255713,161218011,115051666,555745239,205649164,62649853,3019316490",Geography:0.31_Computer science:0.22_Geology:0.22_Engineering:0.1_Mathematics:0.08_Physics:0.08
10826374,"55493867,86803240,114574056,150194340,4692481,2776953305,177707886,5426402,105580179,67705224,153911025",Biology:0.69_Chemistry:0.2_Medicine:0.1
10872373,"126322002,2992286596,164705383,2777524694,2778213512,71924100,2988353939,146957229,3019004856,555175668,126838900,2780007028",Medicine:0.67_Biology:0.28_Chemistry:0.03_Computer science:0.02
10957135,"2780746132,144133560,10138342,39549134,2992270742,3019386780",Political science:0.33_Business:0.25_Computer science:0.17_Economics:0.08_Chemistry:0.08_Physics:0.08
11044952,"3019134921,192562407,44838205,115704247",Chemistry:0.5_Materials science:0.31_Physics:0.12_Engineering:0.06
